Pod-ID,Software,Version,CVE-ID,CVE-Severity,CVE-Title,CVSS
currencyservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
productcatalogservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
checkoutservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
paymentservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
cartservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
shippingservice,golang.org/x/net,v0.0.0-20220906165146-f3363e06e74c,CVE-2022-41717,MEDIUM,An attacker can cause excessive memory growth in a Go server accepting ...,"{'nvd': {'V3Vector': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L', 'V3Score': 5.3}}"
emailservice,apt,2.2.4,CVE-2011-3374,LOW,"It was found that apt-key in apt, all versions, do not correctly valid ...","{'nvd': {'V2Vector': 'AV:N/AC:M/Au:N/C:N/I:P/A:N', 'V3Vector': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N', 'V2Score': 4.3, 'V3Score': 3.7}}"
emailservice,bash,5.1-2+deb11u1,CVE-2022-3715,MEDIUM,bash: a heap-buffer-overflow in valid_parameter_transform,"{'redhat': {'V3Vector': 'CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:H', 'V3Score': 5.5}}"
emailservice,bsdutils,2.36.1-8+deb11u1,CVE-2022-0563,LOW,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"{'nvd': {'V2Vector': 'AV:L/AC:M/Au:N/C:P/I:N/A:N', 'V3Vector': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N', 'V2Score': 1.9, 'V3Score': 5.5}, 'redhat': {'V3Vector': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 5.5}}"
emailservice,coreutils,8.32-4,CVE-2016-2781,LOW,coreutils: Non-privileged session can escape to the parent session in chroot,"{'nvd': {'V2Vector': 'AV:L/AC:L/Au:N/C:N/I:P/A:N', 'V3Vector': 'CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:N', 'V2Score': 2.1, 'V3Score': 6.5}, 'redhat': {'V2Vector': 'AV:L/AC:H/Au:N/C:C/I:C/A:C', 'V3Vector': 'CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H', 'V2Score': 6.2, 'V3Score': 8.6}}"
emailservice,coreutils,8.32-4,CVE-2017-18018,LOW,coreutils: race condition vulnerability in chown and chgrp,"{'nvd': {'V2Vector': 'AV:L/AC:M/Au:N/C:N/I:P/A:N', 'V3Vector': 'CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N', 'V2Score': 1.9, 'V3Score': 4.7}, 'redhat': {'V3Vector': 'CVSS:3.0/AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:L', 'V3Score': 4.2}}"
emailservice,e2fsprogs,1.46.2-2,CVE-2022-1304,HIGH,e2fsprogs: out-of-bounds read/write via crafted filesystem,"{'nvd': {'V2Vector': 'AV:N/AC:M/Au:N/C:P/I:P/A:P', 'V3Vector': 'CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H', 'V2Score': 6.8, 'V3Score': 7.8}, 'redhat': {'V3Vector': 'CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:H', 'V3Score': 5.8}}"
emailservice,libapt-pkg6.0,2.2.4,CVE-2011-3374,LOW,"It was found that apt-key in apt, all versions, do not correctly valid ...","{'nvd': {'V2Vector': 'AV:N/AC:M/Au:N/C:N/I:P/A:N', 'V3Vector': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N', 'V2Score': 4.3, 'V3Score': 3.7}}"
emailservice,libblkid1,2.36.1-8+deb11u1,CVE-2022-0563,LOW,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"{'nvd': {'V2Vector': 'AV:L/AC:M/Au:N/C:P/I:N/A:N', 'V3Vector': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N', 'V2Score': 1.9, 'V3Score': 5.5}, 'redhat': {'V3Vector': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N', 'V3Score': 5.5}}"
emailservice,libc-bin,2.31-13+deb11u5,CVE-2010-4756,LOW,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,"{'nvd': {'V2Vector': 'AV:N/AC:L/Au:S/C:N/I:N/A:P', 'V2Score': 4}, 'redhat': {'V2Vector': 'AV:N/AC:L/Au:N/C:N/I:N/A:P', 'V2Score': 5}}"
