Source Service,Target Service,Source Process ID,Target Process ID,Alert Type,Description,Severity
frontend,adservice,2646.0,2375.0,Unusual Network Connections Following Privilege Escalation,Lateral movement detected from frontend (PID: 2646.0) to adservice (PID: 2375.0).,High
frontend,cartservice,2916.0,2440.0,Suspicious File Access Patterns Across Hosts,Lateral movement detected from frontend (PID: 2916.0) to cartservice (PID: 2440.0).,High
frontend,adservice,2067.0,3127.0,Anomalous Access Across Different Hosts,Lateral movement detected from frontend (PID: 2067.0) to adservice (PID: 3127.0).,High
frontend,adservice,1727.0,,Irregular Use of Administrative Tools,Lateral movement detected from frontend (PID: 1727.0) to adservice (PID: nan).,High
frontend,cartservice,2089.0,1843.0,Suspicious File Access Patterns Across Hosts,Lateral movement detected from frontend (PID: 2089.0) to cartservice (PID: 1843.0).,High
recommendationservice,adservice,2818.0,2376.0,Anomalous Access Across Different Hosts,Lateral movement detected from recommendationservice (PID: 2818.0) to adservice (PID: 2376.0).,High
recommendationservice,frontend,2806.0,2089.0,Suspicious File Access Patterns Across Hosts,Lateral movement detected from recommendationservice (PID: 2806.0) to frontend (PID: 2089.0).,High
recommendationservice,frontend,2815.0,3490.0,Unexpected Remote Process Execution,Lateral movement detected from recommendationservice (PID: 2815.0) to frontend (PID: 3490.0).,High
adservice,cartservice,2376.0,2535.0,Anomalous Access Across Different Hosts,Lateral movement detected from adservice (PID: 2376.0) to cartservice (PID: 2535.0).,High
adservice,recommendationservice,2378.0,3372.0,Unusual Network Connections Following Privilege Escalation,Lateral movement detected from adservice (PID: 2378.0) to recommendationservice (PID: 3372.0).,High
cartservice,frontend,2507.0,2919.0,Abnormal Service or Daemon Activities,Lateral movement detected from cartservice (PID: 2507.0) to frontend (PID: 2919.0).,High
cartservice,frontend,3154.0,2305.0,Unexpected Remote Process Execution,Lateral movement detected from cartservice (PID: 3154.0) to frontend (PID: 2305.0).,High
cartservice,recommendationservice,3037.0,2808.0,Unusual Network Connections Following Privilege Escalation,Lateral movement detected from cartservice (PID: 3037.0) to recommendationservice (PID: 2808.0).,High
cartservice,frontend,3038.0,1712.0,Unusual Network Connections Following Privilege Escalation,Lateral movement detected from cartservice (PID: 3038.0) to frontend (PID: 1712.0).,High
