,id,type,path,subtype,permissions,epoch,source,version,local address,remote port,protocol,remote address,local port,net namespace,memory address,size,tgid,read fd,write fd,svc
48,a41db92088a31a823a23ed48145dd661,Artifact,,network socket,,0,syscall,0,0.0.0.0,39612,tcp,172.31.30.227,6379,-1,,,,,,redis-cart
49,a2f50c6b069415c603efdac935d00de4,Artifact,,network socket,,0,syscall,0,0.0.0.0,39614,tcp,172.31.30.227,6379,-1,,,,,,redis-cart
96,be892937315bea0644510e695d37ac30,Artifact,,network socket,,0,syscall,0,127.0.0.1,8080,tcp,0.0.0.0,46636,4026532231,,,,,,frontend
97,5a7a49b0a1c2096d4e6e896d35f9194d,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46636,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080,-1,,,,,,frontend
98,80a3b6046c1aa2dda29b76dc32d1e4fa,Artifact,,network socket,,0,syscall,0,127.0.0.1,8080,tcp,0.0.0.0,46642,4026532231,,,,,,frontend
99,cf367aec66d57a49adcb74b784437e1f,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46642,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080,-1,,,,,,frontend
152,a89c134c210562dfccc3bea41c2d5d63,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36032,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051,-1,,,,,,paymentservice
153,8df23791c8b2af5a86b875d28afdcc51,Artifact,,network socket,,0,syscall,0,127.0.0.1,50051,tcp,0.0.0.0,36032,4026532967,,,,,,paymentservice
154,e7026795986d1db96f7ca019fe9aca94,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46658,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080,-1,,,,,,frontend
174,f6afa0dc808e7927692a2a402dd37e1b,Artifact,,network socket,,0,syscall,0,127.0.0.1,8080,tcp,0.0.0.0,46658,4026532694,,,,,,frontend
177,5ac5d0a9cea066d03b805a8a1e419e54,Artifact,,network socket,,0,syscall,0,127.0.0.1,8080,tcp,0.0.0.0,46664,4026532694,,,,,,frontend
178,b19587f0ce057e0a68dedb9f2a76026e,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46664,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080,-1,,,,,,frontend
180,df651caf48a8fb66322f4d4f0a0887ae,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55840,tcp,0000:0000:0000:0000:0000:FFFF:AC1F:1EE3,8080,-1,,,,,,frontend
207,7baa97ff0494788f0b47200ef6aaa6a8,Artifact,,network socket,,0,syscall,0,127.0.0.1,50051,tcp,0.0.0.0,36038,4026532382,,,,,,paymentservice
208,69824c109ae4302f910be7a9e823d71c,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36038,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051,-1,,,,,,paymentservice
378,a14668ae49f6ee8b6355891156206d37,Artifact,,network socket,,0,syscall,0,127.0.0.1,7070,tcp,0.0.0.0,55102,4026532899,,,,,,cartservice
379,87ae26cb62fd1b3481c32d1e4f60a4ba,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55102,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7070,-1,,,,,,cartservice
385,d5e6ecbfd578d56a4fd2a52574557af2,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55844,tcp,0000:0000:0000:0000:0000:FFFF:AC1F:1EE3,8080,-1,,,,,,frontend
437,703a57eb0eaf1afe71b4b4ae39f694c6,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,43688,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7000,-1,,,,,,currencyservice
450,465862b6f8b03b3e88e9cb462132dced,Artifact,,network socket,,0,syscall,0,127.0.0.1,7000,tcp,0.0.0.0,43688,4026532583,,,,,,currencyservice
478,088dabc017ff04ffbfe67a32b98e8944,Artifact,,network socket,,0,syscall,0,127.0.0.1,50051,tcp,0.0.0.0,36046,4026532382,,,,,,paymentservice
479,fb507055b141b3fd37433c97e4cf05cb,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36046,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051,-1,,,,,,paymentservice
501,90dd4bea017d4880ad69f8b359bd601f,Artifact,,network socket,,0,syscall,0,127.0.0.1,3550,tcp,0.0.0.0,34350,4026532449,,,,,,productcatalogservice
503,d5a7e866af60ad8ea6677f6d8309b1ed,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,34350,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,3550,-1,,,,,,productcatalogservice
532,29a8df94fc46d2ae387d5d2ae0d668dc,Artifact,,network socket,,0,syscall,0,127.0.0.1,7070,tcp,0.0.0.0,55106,4026532899,,,,,,cartservice
535,8f81ec5123339f726e81185572c9074c,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55106,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7070,-1,,,,,,cartservice
559,8f73a750905117f3f45810eea79c923e,Artifact,,network socket,,0,syscall,0,127.0.0.1,3550,tcp,0.0.0.0,34356,4026532449,,,,,,productcatalogservice
560,7428adc6445392a6eb8066a7f3d9f3ec,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,34356,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,3550,-1,,,,,,productcatalogservice
593,0b0919bd7c3db979f75592d01b508f61,Artifact,,network socket,,0,syscall,0,127.0.0.1,7000,tcp,0.0.0.0,43704,4026532583,,,,,,currencyservice
595,0d5dc426db6fba38aa2fad35c45e81fc,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,43704,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7000,-1,,,,,,currencyservice
619,bcebe7b8dd2fe889e103dfa10d77edc6,Artifact,,network socket,,0,syscall,0,127.0.0.1,50051,tcp,0.0.0.0,36050,4026532967,,,,,,paymentservice
620,7bc945978b4aadfe4d7f2f75f0ec7886,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36050,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051,-1,,,,,,paymentservice
630,90bc64de35e356de6d7062ed712606c7,Artifact,,network socket,,0,syscall,0,0.0.0.0,39636,tcp,172.31.30.227,6379,-1,,,,,,redis-cart
631,6923e0d2e16ac5e3b77b516c69990235,Artifact,,network socket,,0,syscall,0,0.0.0.0,39638,tcp,172.31.30.227,6379,-1,,,,,,redis-cart
654,773c68c3b89710892a4783d58c60923e,Artifact,,network socket,,0,syscall,0,127.0.0.1,8080,tcp,0.0.0.0,46678,4026532231,,,,,,frontend
655,357010570762c4c5e8d2980b1fe0c7fc,Artifact,,network socket,,0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46678,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080,-1,,,,,,frontend
