,from,to,type,event id,flags,source,time,operation,protection,advice
458,bf568478eb1e54952760f72d50144a4e,a41db92088a31a823a23ed48145dd661,Used,841,,syscall,1702119793.532,accept,,
459,bf568478eb1e54952760f72d50144a4e,a2f50c6b069415c603efdac935d00de4,Used,842,,syscall,1702119793.532,accept,,
460,a41db92088a31a823a23ed48145dd661,bf568478eb1e54952760f72d50144a4e,WasGeneratedBy,843,,syscall,1702119793.532,close,,
461,a2f50c6b069415c603efdac935d00de4,bf568478eb1e54952760f72d50144a4e,WasGeneratedBy,846,,syscall,1702119793.532,close,,
915,0ef366a12c22d68dcc35e410ab69719e,413b8704b3209061ce63aaa13a274964,WasTriggeredBy,1307,,syscall,1702119793.592,execve,,
916,0ef366a12c22d68dcc35e410ab69719e,463300ec78aa5cf048742792ee5e5ef4,Used,1307,,syscall,1702119793.592,load,,
917,0ef366a12c22d68dcc35e410ab69719e,ff24d51b85635ab8e2118892169b5c1d,Used,1308,O_RDONLY,syscall,1702119793.592,open,,
918,0ef366a12c22d68dcc35e410ab69719e,ff24d51b85635ab8e2118892169b5c1d,Used,1309,,syscall,1702119793.592,close,,
919,9154e1fe447110ceac41673360bce4a7,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1310,,syscall,1702119793.596,mmap (write),3,
920,3188e84116ec3dec720b426708d995b9,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1311,,syscall,1702119793.596,mmap (write),0,
921,2cf03ed16c7bffbd199edfee2d2a61a4,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1312,,syscall,1702119793.596,mmap (write),0,
922,4284b3f03d8fa9c20037b8bbe38b3329,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1313,,syscall,1702119793.596,mmap (write),0,
923,50be0f5b01f2561f7210c25484bc3838,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1314,,syscall,1702119793.596,mmap (write),0,
924,de08c0963f8725ed4503257ef0923597,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1315,,syscall,1702119793.596,mmap (write),0,
925,818a93ce922c6a07db6cab9caac03a2c,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1316,,syscall,1702119793.596,mmap (write),0,
926,2b31496a895825d2965f87e18b253cb2,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1317,,syscall,1702119793.596,mmap (write),3,
927,429350b0bee73e50da5dc8f989524318,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1318,,syscall,1702119793.596,mmap (write),3,
928,c1164a52a433cafdf8aa419b3dad29e7,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1319,,syscall,1702119793.596,mmap (write),3,
929,de8fbf3c8e7a5ec6fce2bf4b3c388fa5,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1320,,syscall,1702119793.596,mmap (write),3,
930,c66bfb4e9ea05d991d0afb7a5008e523,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1321,,syscall,1702119793.596,mmap (write),3,
