,id,type,gid,euid,children pid namespace,pid,seen time,source,net namespace,ipc namespace,ppid,pid namespace,cwd,uid,egid,exe,mount namespace,name,user namespace,start time,command line,ns pid,svc
4,0ef366a12c22d68dcc35e410ab69719e,Process,1000,1000,-1,1711,,syscall,-1,-1,1690,-1,/email_server,1000,1000,/bin/grpc_health_probe,-1,grpc_health_pro,-1,1702119793.592,/bin/grpc_health_probe -addr=:8080,,frontend
5,3f921fd1ce1cc790417d2071cc0a3c34,Process,1000,1000,4026532688,1723,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.596,/bin/grpc_health_probe -addr=:8080,2489,frontend
6,e6103611b0969dad371a1d6e665772e7,Process,1000,1000,4026532688,1724,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.596,/bin/grpc_health_probe -addr=:8080,2490,frontend
7,ff8a80868c60e4a5a1503a31124cd340,Process,1000,1000,4026532688,1725,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.596,/bin/grpc_health_probe -addr=:8080,2491,frontend
9,b6acb3e5c8618efc89e85cd9e2ee9823,Process,1000,1000,4026532688,1726,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.604,/bin/grpc_health_probe -addr=:8080,2492,frontend
10,711e85fad0a8d268142f6e203dae89f0,Process,1000,1000,-1,1712,,syscall,-1,-1,1691,-1,/email_server,1000,1000,/bin/grpc_health_probe,-1,grpc_health_pro,-1,1702119793.604,/bin/grpc_health_probe -addr=:8080,,frontend
11,40c6909e0a13834bd770505624453279,Process,1000,1000,4026532688,1727,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.640,/bin/grpc_health_probe -addr=:8080,2493,frontend
12,13d22d989a2d479d31e7f40264ea29e6,Process,1000,1000,4026532688,1728,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.644,/bin/grpc_health_probe -addr=:8080,2494,frontend
13,83b494a549671e35e45cb6426dfd6480,Process,1000,1000,4026532688,1729,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.644,/bin/grpc_health_probe -addr=:8080,2495,frontend
14,bb660e9cd014844f13ca79220e801138,Process,1000,1000,4026532688,1730,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.644,/bin/grpc_health_probe -addr=:8080,2496,frontend
15,6fc248d2f6fecbd3de14f9512cc4b771,Process,1000,1000,4026532688,1731,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.644,/bin/grpc_health_probe -addr=:8080,2497,frontend
16,4cae72d0437800d5a4a478a0d8213f90,Process,1000,1000,4026532688,1732,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.644,/bin/grpc_health_probe -addr=:8080,2498,frontend
17,9048166b4e5c9e0cf117cb3cd467b460,Process,1000,1000,4026532688,1733,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.648,/bin/grpc_health_probe -addr=:8080,2499,frontend
18,d47ba7ec5908907bc9a56c55b3abef28,Process,1000,1000,4026532688,1735,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.648,/bin/grpc_health_probe -addr=:8080,2500,frontend
19,c5718fec0dd286982a842b3177c818db,Process,1000,1000,4026532688,1736,,syscall,4026532231,4026532657,1711,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.648,/bin/grpc_health_probe -addr=:8080,2501,frontend
21,1f01af9e0142951622bf1a808385eac2,Process,1000,1000,4026532688,1737,,syscall,4026532231,4026532657,1712,4026532688,/email_server,1000,1000,/bin/grpc_health_probe,4026532687,grpc_health_pro,4026531837,1702119793.740,/bin/grpc_health_probe -addr=:8080,2502,frontend
23,4419a07dc8f7d1cf3bbd5e1eb0d842aa,Process,1000,1000,-1,1765,,syscall,-1,-1,1744,-1,/recommendationservice,1000,1000,/bin/grpc_health_probe,-1,grpc_health_pro,-1,1702119793.860,/bin/grpc_health_probe -addr=:8080,,recommendationservice
25,02d7ce6333a0b3806b3891432134a908,Process,1000,1000,4026533065,1786,,syscall,4026532694,4026533040,1765,4026533065,/recommendationservice,1000,1000,/bin/grpc_health_probe,4026533064,grpc_health_pro,4026531837,1702119793.892,/bin/grpc_health_probe -addr=:8080,2468,recommendationservice
26,a708cec856d38a1c55cc1bb21f56e745,Process,1000,1000,4026533065,1787,,syscall,4026532694,4026533040,1765,4026533065,/recommendationservice,1000,1000,/bin/grpc_health_probe,4026533064,grpc_health_pro,4026531837,1702119793.892,/bin/grpc_health_probe -addr=:8080,2469,recommendationservice
27,31f2ee457455785dcd386f5565fcf713,Process,1000,1000,4026533065,1788,,syscall,4026532694,4026533040,1765,4026533065,/recommendationservice,1000,1000,/bin/grpc_health_probe,4026533064,grpc_health_pro,4026531837,1702119793.892,/bin/grpc_health_probe -addr=:8080,2470,recommendationservice
29,7938335375279b25f1ce8933e195a8e0,Process,1000,1000,4026533065,1789,,syscall,4026532694,4026533040,1765,4026533065,/recommendationservice,1000,1000,/bin/grpc_health_probe,4026533064,grpc_health_pro,4026531837,1702119793.896,/bin/grpc_health_probe -addr=:8080,2471,recommendationservice
30,802363cc045c093440fd5a013c25d645,Process,1000,1000,-1,1772,,syscall,-1,-1,1738,-1,/src,1000,1000,/bin/grpc_health_probe,-1,grpc_health_pro,-1,1702119793.892,/bin/grpc_health_probe -addr=:50051,,paymentservice
